ID	Name	Designator	Footprint	Quantity	Manufacturer Part	Manufacturer	Supplier	Supplier Part
"1"	"100nF"	"C12,C19,C7,C8,C6"	"C0402"	"5"	"CL05B104KB54PNC"	"SAMSUNG(三星)"	"LCSC"	"C307331"
"2"	"HX PZ2.54-1X2P ZZ"	"JP1,JP2"	"HDR-TH_2P-P2.54-V-M-3"	"2"	"HX PZ2.54-1x2P ZZ"	"hanxia(韩下)"	"LCSC"	"C32713268"
"3"	"10kΩ"	"R13,R14,R15,R16,R17,R18,R10,R8,R1"	"R0402"	"9"	"0402WGF1002TCE"	"UNI-ROYAL(厚声)"	"LCSC"	"C25744"
"4"	"B2B-XH-A"	"CN6,CN7,CN5,CN3,CN2,CN4"	"CONN-TH_B2B-XH-A-LF-SN"	"6"	"B2B-XH-A(LF)(SN)"	"JST"	"LCSC"	"C158012"
"5"	"BSS138"	"Q6,Q7,Q8"	"SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR"	"3"	"BSS138"	"onsemi(安森美)"	"LCSC"	"C52895"
"6"	"120Ω"	"R12"	"R0402"	"1"	"0402WGF1200TCE"	"UNI-ROYAL(厚声)"	"LCSC"	"C25079"
"7"	"SN65HVD230DR"	"U6"	"SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL"	"1"	"SN65HVD230DR"	"TI(德州仪器)"	"LCSC"	"C12084"
"8"	"10uF"	"C9"	"C1210"	"1"	"CL32A106KBJNNNE"	"SAMSUNG(三星)"	"LCSC"	"C380537"
"9"	"10uF"	"U4"	"CAP-SMD_BD6.3-L6.6-W6.6-LS7.4-FD"	"1"	"RVT10UF50V34RV0011"	"KNSCHA(科尼盛)"	"LCSC"	"C2836444"
"10"	"22uF"	"C11,C10"	"C0805"	"2"	"CL21A226MAQNNNE"	"SAMSUNG(三星)"	"LCSC"	"C45783"
"11"	"EL357N"	"U3"	"OPTO-SMD-4_L4.4-W4.1-P2.54-LS7.0-TL"	"1"	"EL357N(C)(TA)-G"	"EVERLIGHT(亿光)"	"LCSC"	"C29981"
"12"	"2.2kΩ"	"R7"	"R0402"	"1"	"0402WGF2201TCE"	"UNI-ROYAL(厚声)"	"LCSC"	"C25879"
"13"	"TYPEC-303-ACP16"	"USB2"	"USB-C-SMD_TYPEC-303-ACP16"	"1"	"TYPEC-303-ACP16"	"XUNPU(讯普)"	"LCSC"	"C720628"
"14"	"KT-0603R"	"POWER_LED"	"LED0603-RD"	"1"	"KT-0603R"	"KENTO"	"LCSC"	"C2286"
"15"	"B5B-XH-AM"	"CN1"	"CONN-TH_B5B-XH-AM-LF-SN"	"1"	"B5B-XH-AM(LF)(SN)"	"JST"	"LCSC"	"C161872"
"16"	"TS342A2P-WZ"	"BOOT,RST"	"SW-SMD_L4.0-W2.9-LS5.0"	"2"	"TS342A2P-WZ"	"SHOU HAN"	"LCSC"	"C557591"
"17"	"10uF"	"C1,C2,C3,C5"	"C0603"	"4"	"CL10A106MA8NRNC"	"SAMSUNG(三星)"	"LCSC"	"C96446"
"18"	"47uF"	"C4"	"CASE-A_3216"	"1"	"TAJA476K006RNJ"	"Kyocera AVX"	"LCSC"	"C7190"
"19"	"B5819W"	"D1"	"SOD-123_L2.7-W1.6-LS3.7-RD-1"	"1"	"B5819W SL"	"CJ(江苏长电/长晶)"	"LCSC"	"C8598"
"20"	"LL4148"	"D2,D3,D4,D5"	"LL-34_L3.5-W1.5-RD"	"4"	"LL4148"	"MDD"	"LCSC"	"C435829"
"21"	"PTF-15"	"FH1"	"FUSE-TH_L22.0-W9.0-P22.60"	"1"	"PTF-15"	"XFCN(兴飞)"	"LCSC"	"C842712"
"22"	"SRD-5VDC-SL-A"	"K1,K2,K3,K4"	"RELAY-TH_SRD-XXVDC-XX-A"	"4"	"SRD-5VDC-SL-A"	"松乐"	"LCSC"	"C140615"
"23"	"4.7uH"	"L1"	"IND-SMD_L5.2-W5.1"	"1"	"YSPI0530-4R7M"	"YJYCOIN(益嘉源)"	"LCSC"	"C351098"
"24"	"MUN5214DW1T1G"	"Q1"	"SOT-363_L2.0-W1.3-P0.65-LS2.1-TL"	"1"	"MUN5214DW1T1G"	"onsemi(安森美)"	"LCSC"	"C94403"
"25"	"MMBT2222A"	"Q2,Q3,Q4,Q5"	"SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR"	"4"	"MMBT2222A 1P"	"CJ(江苏长电/长晶)"	"LCSC"	"C8512"
"26"	"1kΩ"	"R2,R3,R4,R5,R6"	"R0402"	"5"	"0402WGF1001TCE"	"UNI-ROYAL(厚声)"	"LCSC"	"C11702"
"27"	"5.1kΩ"	"R9,R11"	"R0402"	"2"	"0402WGF5101TCE"	"UniOhm"	"LCSC"	"C25905"
"28"	"AP2112K-3.3TRG1"	"U1"	"SOT-25-5_L2.9-W1.6-P0.95-LS2.8-BL"	"1"	"AP2112K-3.3TRG1"	"DIODES(美台)"	"LCSC"	"C51118"
"29"	"ESP32-WROOM-32E(4MB)"	"U2"	"WIFI-SMD_ESP32-WROOM-32E"	"1"	"ESP32-WROOM-32E-N4"	"ESPRESSIF(乐鑫)"	"LCSC"	"C701341"
"30"	"CH340C"	"U5"	"SOP-16_L10.0-W3.9-P1.27-LS6.0-BL"	"1"	"CH340C"	"WCH"	"LCSC"	"C84681"
"31"	"AP63205WU-7"	"U9"	"TSOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL"	"1"	"AP63205WU-7"	"DIODES(美台)"	"LCSC"	"C2071056"
